AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-38,8,-124,-912,4026,-7066
-107,114,-108,841,5509,-9534
11,-1,-17,-855,6811,-7855
-26,-73,50,-3405,7473,-2591
43,125,-62,-1414,3866,3409
16,-34,47,-8599,-4060,4018
40,106,80,-1642,-9499,7774
-17,93,-87,7622,-4667,-1316
-80,115,-1,2311,-2626,-9108
-70,112,-2,-711,8519,-9437
31,0,90,1963,6906,-1139
-96,-64,89,-1245,1969,3288
-45,-76,78,-7260,-2476,4703
-92,-37,-124,-4153,-6765,7772
-27,77,88,-1264,-637,-3637
72,-54,82,7985,-7457,-7990
83,-2,-9,2107,7488,-9236
-42,55,30,3582,7332,-1741
-54,91,109,999,3543,1878
109,-11,6,-10412,2246,2841
-78,93,89,-8886,-4385,7040
54,-57,-15,-5140,-6899,11548
100,57,116,3249,-3425,-220
91,-82,11,5405,-7984,-6942
-113,-1,-30,4444,-1540,-9268
-53,42,3,5896,-4300,-9501
89,101,-79,3644,-1588,-2646
102,-42,-52,-911,-5150,1111
27,121,28,-3405,-152,2342
32,42,103,-495,-1439,3712
30,-69,65,959,-499,4062
29,89,62,-515,-733,4353
-50,-8,21,-2133,-951,4207
66,-113,-28,-7033,-42,8678
-20,-48,-6,65,-2462,1642
78,-63,127,-449,-889,1509
58,-74,21,-834,-1248,2057
91,122,91,-808,251,895
101,-84,-11,1066,16,2130
98,-87,-86,472,-1439,2273
71,101,124,4321,1363,-10071
-11,32,-106,-715,4137,-10503
13,71,-89,-4169,5619,-5794
78,87,-24,-104,5758,1448
112,112,-87,-7054,4445,5518
30,51,-35,-7957,-8941,8781
-39,-27,-67,2069,-6928,2840
-66,116,35,5588,-7332,-8993
10,73,-60,-398,4813,-9783
-63,-60,-61,1245,5606,-3327
-81,-107,20,-542,3658,2067
75,104,-14,-11556,629,5815
-43,-55,116,-3694,-7837,7674
97,-95,-77,5082,-8277,-3801
-4,116,-24,2922,-884,-8932
106,-85,-83,-2784,8626,-7351
23,97,-49,531,6474,-568
84,92,-99,-2391,2799,3548
106,19,-42,-9646,1008,4325
28,62,-45,-8077,-5070,8926
-45,-72,58,3949,-14396,13122
107,-107,81,2298,-1791,-6322
15,-79,-11,1558,-7552,-9442
-99,0,-9,475,-346,-10613
-107,-127,-67,3693,-4077,-6057
-71,36,-57,-474,-2724,-581
112,60,-4,-6531,2531,-1046
118,-15,-111,193,-510,3684
3,-58,40,-2686,2635,3848
95,1,115,-1278,-408,4736
110,48,41,-2811,-1287,3560
61,125,13,-882,-1551,4011
73,-6,-99,47,-925,3637
31,118,51,-4576,1263,1148
52,96,9,-3087,1032,-312
-85,116,76,-678,-2442,2061
-48,86,-127,532,69,1528
-27,100,76,-2042,2165,427
-48,56,14,-2398,233,-975
-81,-5,96,-789,-917,-663
-33,-62,0,9173,1402,1289
-52,33,5,5138,4222,-9711
-9,-73,87,2888,2353,-11886
90,96,-108,-547,6939,-5584
71,-82,-17,1514,5266,1077
-121,81,-77,-3493,3377,-260
38,109,22,-9370,-2679,2521
-11,58,-98,-7755,-8110,5263
30,121,-62,-585,-8395,4503
-105,45,-55,7282,-8872,-4383
88,-15,-95,864,-245,-11530
40,33,-53,1345,9020,-6686
78,76,80,3241,6724,-1064
-22,-29,-43,-5999,5195,1267
101,-11,-53,-9859,-1425,3545
25,121,122,-10191,-4738,5798
44,-96,108,-2604,-6409,4092
-21,77,-25,7159,-10956,-3278
-107,-42,-8,5534,-1812,-9574
-59,-112,-30,2809,2485,-8810
-123,-85,4,5731,410,-4442
80,-40,45,2164,-410,-2992
-25,116,14,-1607,394,-1958
55,21,-19,-935,-1429,-540
104,-114,79,-1248,-1016,939
120,117,-122,-2231,-1237,1613
99,-20,86,-1636,-1260,1807
108,17,50,-882,-1813,3263
112,-91,127,-1896,-985,3941
-114,-117,-77,-2047,-838,3570
74,-74,-111,-1664,-2268,4265
-86,62,117,-3204,-1473,2718
117,-128,97,-1526,-2112,3216
-17,-76,127,-2127,-1411,3409
-83,-68,106,-1771,-498,995
57,66,-93,-539,383,1672
114,-34,50,4603,662,1735
-117,3,-39,-455,-152,282
-99,-103,-45,-1049,736,-1387
-22,24,-101,-541,1149,-509
-57,32,96,8003,5408,-3200
114,101,-103,3892,4087,-5739
49,5,-29,3547,3479,-6485
117,-27,42,318,4187,-4497
-21,-25,-117,-901,6118,-3361
102,51,74,-476,6012,1394
-18,-22,121,-7742,-1295,5323
12,-71,51,-9489,-9748,8579
68,-30,-114,2119,-9104,-331
-73,6,36,7311,-4123,-9823
-58,-127,10,602,6434,-9516
88,58,58,-37,6354,-2464
-17,-106,-120,1674,4310,3036
-4,10,57,-12195,2097,2707
-2,-54,118,-10922,-7885,7588
-84,71,81,3175,-7439,7318
6,82,77,9512,-8782,-11175
-62,-125,17,4260,-818,-12339
125,126,-1,-882,9407,-8603
106,-118,8,3921,-3838,-3235
53,-99,91,-5149,861,-1879
-127,101,-104,-3272,-2340,2282
39,62,-117,-1178,-1732,3771
10,88,116,-3245,-2845,5628
-27,-30,-117,-3049,-2176,4205
-49,-114,78,-1159,-2460,4408
-86,-101,-109,-1530,-2247,3752
-42,-59,40,-2107,-580,2442
-85,-36,-3,-1404,-2877,3180
-13,-94,-60,-1753,-311,2678
15,120,115,-680,583,1241
-38,-119,-111,-2444,124,1128
32,72,108,2213,-3771,-330
114,-38,69,354,727,-589
66,-58,-1,575,1623,-1147
117,91,-29,442,188,-404
-40,39,-91,649,1111,-502
-65,59,125,-606,-343,-1301
-42,13,-91,-979,1269,-995
87,-4,-46,-1092,1328,-428
53,110,71,7759,3279,-1532
-50,93,125,4985,1998,-9800
67,93,-11,3108,6203,-12488
-111,14,99,544,10126,-559
46,-54,-127,64,3328,3587
55,4,124,-16443,-5696,4558
-36,112,92,-648,-11989,7976
46,74,-76,4078,-2589,-11036
-125,-43,80,7229,-2129,-12080
68,-56,31,-1294,8344,-2710
-117,-52,56,-2483,2338,1721
-89,-86,-35,-14767,-1569,8567
51,-22,-20,-9093,-5231,7442
-93,-102,-22,926,-2646,6345
-60,-44,-120,10515,-16084,-1590
-28,112,0,-920,1106,-15790
117,-111,68,2124,1371,-9390
17,48,20,5325,-965,-1921
-76,-124,-8,-4593,1625,-2357
93,-6,-53,-710,-2786,173
114,26,97,397,-3475,3051
45,-49,51,1291,-2034,2878
-15,-125,7,-2022,412,328
-43,59,26,-1778,-175,5578
-97,37,45,-4002,298,4021
-48,-84,-28,-2714,-3126,3848
-115,-66,109,-1436,-1164,2810
-111,14,82,-1278,-1222,3138
-84,-11,121,-2072,-896,2590
-27,-38,50,273,12,1715
-38,116,-42,-1225,119,1112
-115,40,-48,-1920,-487,511
118,-10,63,-2496,-303,912
-91,-37,-34,504,-36,529
-105,-108,-22,501,-160,-224
-89,-106,-15,-105,287,-32
-62,75,-70,859,671,-238
6,21,-92,1232,495,-1012
-91,23,-98,403,-135,-686
-90,30,-95,87,420,-457
99,-77,95,5467,4418,-7930
71,-103,-46,6294,9286,-11110
14,-2,65,-3569,6786,-6128
-118,-36,-77,414,6563,3045
119,-20,90,-9426,2685,1957
30,115,-24,-12987,-13108,7425
28,77,-125,5979,-5996,2573
91,36,-47,7955,-5139,-13621
-19,-33,-20,4512,5925,-10284
-32,-68,78,-711,4765,-2807
-67,103,119,1452,4867,2251
-92,-18,124,-13998,2409,4100
-89,-70,-11,-8099,-5303,11983
-125,127,118,-6119,-4247,9314
66,80,59,5440,-8699,-10422
14,114,-31,7014,-7283,-10211
124,110,17,5607,-9002,-7829
70,68,57,-880,-3100,-3173
-55,45,-19,4057,-4343,1962
-118,114,62,-1779,1924,-1109
-45,81,1,693,1006,1704
-34,-113,-50,-1917,768,1884
94,71,71,-2081,1682,2254
125,120,10,789,-97,3786
56,-3,-89,-2894,2926,4170
108,-105,-43,-4240,697,5383
-5,-105,-55,-3471,1375,2989
40,-67,-22,-1478,1403,4633
51,-89,118,-2452,2061,3852
101,-41,-85,-3845,2681,2939
-73,103,120,-2588,453,159
73,117,18,128,267,17
39,4,64,826,827,564
64,-33,43,2500,412,326
69,-22,55,2203,1026,-362
39,-83,-15,1372,-213,-400
96,-49,-3,468,-365,-1258
56,-127,-26,618,-763,-1164
-20,-83,-53,62,-1107,-347
-57,-95,-22,824,-877,-329
9,-110,-127,7010,982,-4935
-19,-66,-67,5409,-942,-9908
-8,-75,-7,-2523,7118,-9679
120,-63,47,1184,6614,-1398
-55,-95,-38,-4055,3515,1235
45,92,-104,-11266,-4927,6031
-59,-55,-60,-6683,-8578,10876
9,-45,-42,-3488,844,2433
89,-71,37,4366,-8729,-9178
-88,58,87,2486,1126,-8095
-111,15,123,1268,5109,-6784
-88,100,-90,1568,9944,1639
-18,18,-22,-2877,2689,4190
31,-71,92,-12831,-1497,5610
-83,71,92,-637,-4374,8566
-28,-107,8,3970,-10476,-5427
-26,-70,115,6203,-6342,-7630
-13,100,24,23,1441,-8165
-25,57,82,5732,-3368,-3396
54,96,-90,-865,1057,-1730
-73,-111,111,4950,-5059,517
67,-92,-41,-2797,2264,-905
-10,39,-37,-2447,700,149
79,24,56,-1584,1202,2935
-117,-74,17,-2409,253,4368
-14,14,53,-3037,159,4580
42,-125,14,-1799,-177,4887
27,-42,66,-1939,-1073,5165
59,-108,32,-4222,1040,2940
12,87,39,-3644,-541,1486
39,-104,124,-4547,1092,1847
54,76,59,-1429,900,1351
13,-18,111,2855,-2473,1636
-24,26,66,1493,-1631,754
-46,-124,-45,574,392,277
-34,-116,-58,903,6,-239
-30,68,-81,925,-146,-283
-37,70,-110,1287,65,-1166
-42,37,-72,-501,181,-851
-55,16,-75,210,-354,-900
-74,-39,-78,6158,581,-4927
-122,-34,9,3644,-813,-7755
52,117,-32,3072,193,-10160
34,47,-12,-4885,7001,-8654
-21,-32,47,-1085,6452,-1654
-32,65,27,-4657,2851,2170
111,107,-30,-11948,-5409,6449
15,31,115,-3509,-9585,9137
42,89,-24,452,-1619,-1810
46,39,-124,8085,-11338,-7470
63,-15,-117,639,6859,-8765
-123,25,-49,3006,5208,-3208
