AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-70,37,106,819,4444,-5263
52,35,-101,905,5709,-5902
46,-92,-35,-534,5225,-4542
-76,-31,-67,-6605,6895,-3956
-118,-58,-70,949,2439,669
52,-73,68,-1860,2832,2936
65,-88,-100,-3843,-2374,1758
98,-29,-103,-3223,-2907,1175
113,119,-50,1066,-4966,560
122,98,10,2493,-2580,-1794
92,-117,-13,2351,2623,-5840
-83,-126,38,2050,5040,-4258
96,-10,118,225,6537,-1252
62,-107,-60,1651,2199,2677
-22,-114,-73,-11761,9321,1343
-122,-13,55,-1704,-7081,1547
16,85,-115,-3869,-7022,1709
54,92,-19,-3573,-9456,709
41,-127,-109,3232,-12188,365
-37,34,59,-899,-2062,8710
-25,-1,-110,1881,-741,4240
-127,90,-117,75,-208,-2274
-53,49,55,-812,3069,-113
-100,-6,-65,150,-1848,604
23,102,-42,-231,-452,358
57,7,-103,-166,828,-894
93,-9,-120,49,272,-417
88,-42,-116,141,-394,-244
72,-67,-115,333,-276,256
92,-10,-94,152,21,-175
92,-40,-107,83,16,84
100,-24,-120,27,55,-137
111,-25,126,-27,78,-25
116,0,-124,-76,33,-103
127,-11,124,239,-127,1
-126,4,-118,3,43,-164
-127,-16,-123,180,23,-48
-118,-16,-122,-15,107,-76
-108,-17,121,70,28,-43
-104,-26,117,59,-76,43
79,37,40,3380,7308,-7958
-23,-33,-111,-595,5091,-9161
46,34,-111,1414,1985,-6832
116,-58,104,-2361,6184,-4392
15,-64,96,-1443,3392,-683
36,4,99,-47,1028,2511
78,78,124,-1870,1808,277
85,-13,-99,-2677,-980,19
-97,-13,3,-2442,-3258,-51
-70,84,1,849,-7231,325
-110,-1,-3,2764,-2755,102
-126,-62,3,2199,1750,-3927
-94,-18,12,963,4027,-4312
-50,-91,70,1186,4853,833
-25,-27,-61,-429,5588,2613
-119,120,11,-1080,-1167,2450
-110,121,125,-4196,-2912,753
37,-124,26,-2767,-5525,1255
-117,87,55,-1594,-7906,1540
69,-8,2,1296,-8117,1741
72,-99,56,292,-5856,2114
35,127,59,-914,-2509,2990
3,-92,82,63,-2100,1549
-90,85,92,37,-494,1199
121,-13,-35,-822,-1051,-600
-52,54,105,334,-65,344
-64,26,18,1118,-1719,1534
-19,106,-19,-699,-39,-356
-8,8,-36,-121,899,-29
36,3,-91,270,219,-168
33,-12,-114,131,-60,-178
48,0,-100,27,378,-364
60,19,-91,201,-161,155
58,-7,-109,351,-361,-27
59,19,-89,140,105,-10
82,-4,-93,239,159,44
87,-4,-105,70,12,-68
96,-6,-108,17,182,-102
111,-33,-125,131,53,29
113,-10,126,46,-61,-63
-25,-78,-119,2314,4649,-6033
65,94,-104,1440,3271,-6754
81,19,-35,583,5355,-6421
-34,-88,115,-8475,14600,-4111
-95,-64,-115,1937,-1096,350
-6,-80,40,-2233,-465,1540
19,-38,-115,-3586,-1617,2056
-22,-87,-98,-3712,-2057,-334
41,-44,-44,-362,-3067,-17
-61,93,62,3125,-4325,-534
96,124,41,2101,2762,-3029
-64,10,31,2407,1918,-3372
-48,-124,52,435,3503,-3516
126,-122,39,640,5124,932
-50,-46,-11,77,2015,2630
39,4,88,-2996,223,2467
-22,-64,99,-2349,-1768,2447
-121,-66,-101,-1875,-2158,895
-70,44,74,1483,-2346,1122
-8,-3,-83,-320,-1989,1705
77,89,49,-932,-6935,3776
107,91,-18,-802,-7542,5695
112,81,30,-1880,-7066,5751
85,54,-103,-2742,-2342,4169
-122,-40,-98,-4187,948,706
32,35,-78,581,-5301,2283
-45,57,48,193,1932,-1891
-87,83,110,3013,1222,814
-60,-92,-44,-406,301,-209
15,23,119,523,697,-613
43,-43,87,298,607,-227
27,-68,84,174,-100,-100
36,-54,127,-35,-214,133
58,-16,-103,-155,-150,-258
56,-36,-111,172,-14,30
46,-4,-107,-274,71,-242
63,-36,-128,217,-62,144
77,0,-127,-85,65,-146
77,-9,108,34,-69,7
87,-6,116,-129,47,11
44,20,-17,4168,6959,-6863
-97,-43,-125,-210,5135,-8188
-99,-86,-99,3094,2796,-7799
-110,-16,-8,-4536,5679,-4959
-22,-121,-43,-1251,6076,-2359
77,17,-121,-1576,1913,1878
-53,-119,39,-4192,777,1521
59,57,4,-5641,-3988,444
3,-22,88,278,-4644,442
-70,-122,19,2829,-4829,-3402
-53,-77,-90,3861,-209,-2433
47,45,-88,2770,4557,-3190
-101,4,-15,-414,4950,-2682
10,-33,20,-446,3917,835
57,-10,113,-1077,2814,1508
-110,-45,-44,-3471,871,3329
49,-38,119,-5226,-2317,1873
21,6,3,-4436,-4916,2424
-70,-41,-41,-4210,-5763,1359
-11,13,-58,-1531,-6028,-3361
-79,10,21,3535,-12203,-353
-26,86,54,931,-5141,4297
19,-42,123,4819,-5254,5726
7,-76,-67,-4191,-4140,1037
77,48,-63,8711,-3939,3835
-4,30,-97,-765,2452,-1233
-86,78,47,-2613,97,-327
-56,-99,-95,1381,-403,195
-60,22,76,315,-500,-333
-50,2,-105,8,439,-154
-46,-34,-103,-127,537,-259
-30,-35,92,-83,-172,117
-31,-14,69,273,208,-71
