AccX,AccY,AccZ,GyroX,GyroY,GyroZ
83,78,68,-103,3384,-9118
48,-33,-28,-1789,4270,-6731
82,109,-119,-2418,6688,-6525
-124,21,-73,-1254,3853,-6875
95,96,19,-2465,-1036,-1957
28,21,-18,-3221,-3,1117
-13,77,70,-2558,-10906,4881
-81,37,-50,3028,-1651,1248
-92,-108,-52,2616,5664,-8958
99,42,126,-2554,9172,-6568
-97,24,45,6131,-7769,4713
-81,93,42,9180,-8038,5612
-122,75,-74,2886,-5304,10593
-82,-101,-121,150,-1856,4676
38,1,32,-517,-3427,4546
115,-101,81,1330,592,1211
82,106,-57,2381,-1115,1498
10,70,-122,2567,-1341,-663
-16,89,118,658,203,515
16,-54,109,227,21,469
29,-99,113,184,177,-273
34,-96,87,-292,94,-379
35,81,91,208,72,-216
37,86,72,-150,29,-211
44,71,68,223,17,-116
57,96,63,-103,-34,-81
63,100,53,11,123,-63
68,97,51,144,-146,48
75,-124,46,-154,125,-25
87,121,39,234,-125,77
85,-102,37,-234,4,-68
94,-114,49,180,-75,76
99,-87,44,-127,-13,-141
110,-107,51,182,-3,30
108,-93,33,-151,10,-116
113,-102,32,161,-114,-5
124,-90,24,-117,123,-99
122,-96,25,136,-204,-18
-125,-83,25,-124,120,-101
-124,-88,22,86,-173,-15
-70,0,53,-6658,9791,-8209
-31,-50,0,-1997,6925,-5631
72,81,-36,1284,7888,-9356
123,-60,17,-2763,-46,-2438
-78,-56,-31,-5187,-6213,7988
-122,70,-63,8081,-13840,8901
-90,122,-63,-5237,17159,-13529
-45,-94,-12,3123,1856,-1904
-118,-20,-118,667,-2338,671
69,118,83,6185,-5535,4814
-54,-1,106,2693,-5662,10942
118,39,-80,2964,-2282,7050
-56,-66,-91,-2406,310,1954
-18,22,19,2166,-877,2534
49,97,121,2615,-2493,4531
121,-13,18,2568,-454,4349
-94,70,-96,-54,1051,2016
118,116,120,-1867,-170,-627
75,-102,-115,191,-14,-916
43,90,-111,1354,-531,-99
49,103,-99,561,-38,-478
83,78,-107,-236,311,-261
74,72,-128,132,-268,-82
91,76,-118,149,164,-78
91,93,118,170,-136,-62
103,109,120,-173,109,20
112,124,110,-102,32,5
126,-114,104,-62,0,-80
120,-126,104,198,-61,56
-126,-99,103,-50,43,-34
-118,-103,102,-11,-58,33
-114,-87,103,-128,51,-92
-112,-98,103,93,-63,23
-106,-89,93,-69,33,-78
-105,-86,96,-40,-24,-20
-100,-90,82,76,-20,-20
