AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-45,109,-108,-6083,-210,-1785
96,-98,-29,949,1945,691
12,-121,52,3807,1904,851
-17,-108,-30,-3090,-694,-1659
24,-89,86,-353,-352,-971
11,-93,-115,-173,-80,-755
-41,-67,-108,-823,-370,-1073
-70,-50,-101,-995,-673,-1369
-68,-28,-111,-1108,-882,-985
-53,0,-88,-1199,-1121,-625
-81,47,-83,-1554,-850,-661
-110,81,-116,-540,-754,-394
-125,-117,-67,-1425,-1184,-549
80,-56,-68,-910,-575,-355
116,-27,-60,-1949,286,-1201
114,38,-71,-430,-83,-921
59,71,-37,-1983,-447,-1656
37,22,-100,-1135,-80,-1662
54,-19,-84,-1477,42,-1525
82,-39,-87,-1938,195,-1475
104,-54,-108,-958,458,-1028
124,-83,-101,-1205,405,-799
-46,-64,-108,293,-278,327
-112,-109,-110,851,-1319,451
-120,126,-66,74,-1923,755
107,127,-65,436,-1823,1077
75,119,-96,1237,-979,828
-115,-107,-49,1072,-1049,875
64,-119,-16,335,-1490,318
10,69,-44,188,-858,-48
5,41,-69,420,-416,142
-11,42,-65,499,-583,54
7,50,-30,-154,-693,-293
37,44,-14,-683,-269,-492
35,28,-52,-781,573,-714
107,55,-27,-655,854,-289
-78,124,-67,-315,1307,85
79,-81,-83,-293,650,-271
116,41,-19,-2698,430,-1055
-14,-102,-26,-2333,926,-1180
37,15,-37,-3262,1564,-2264
-21,-112,-118,-2609,1698,-1742
-121,122,86,-1182,1383,-1633
85,-124,79,-2097,1319,-1906
79,-82,67,-2611,1342,-1745
120,-64,49,-1625,1695,-1220
-103,-39,55,-877,1683,-1187
-77,-23,103,-1952,951,-1370
-92,-75,73,-688,153,-386
55,93,52,1543,-798,664
11,73,-97,75,-1991,1030
-86,54,-109,-773,-2201,121
38,103,-76,119,-2111,226
122,-86,-6,233,-2406,917
-20,88,-34,1472,-2007,721
-82,28,-63,2236,-1068,1303
35,24,-24,1266,-1366,1189
-13,25,33,-1584,-2147,359
28,55,26,-666,-1580,761
83,-100,119,-1628,-1222,452
-77,26,-126,-3648,64,-378
-96,33,10,-2814,1848,-1179
-54,54,-51,-818,2777,-1158
-54,120,-56,-3610,2119,-2062
-97,-112,-46,-5849,1158,-1272
-79,-81,-84,-3444,-292,-1932
-121,57,-93,-3561,1339,-3487
13,-106,119,1599,2556,-2059
127,52,-55,287,281,-2655
112,12,-28,-1101,-456,-2586
112,-49,33,-496,-1451,-2298
-42,-37,-68,-1075,-2542,-1821
50,-71,-22,-2650,-1257,-2084
60,-30,113,1204,1045,-714
77,-113,85,2949,843,-94
75,-60,116,-171,526,-1125
-71,1,97,-1825,342,72
105,-60,-40,1111,1105,902
43,-70,-95,1694,1010,927
17,15,-54,1218,-60,1376
-96,98,126,-1869,4141,-2093
3,-112,124,-541,2970,-1468
127,-32,-86,-2121,1614,-2032
55,66,-97,-2542,1356,-1963
-75,50,-126,-1847,800,-1903
83,39,114,-2725,926,-2593
4,14,92,-2787,1423,-2608
4,-3,68,-2000,1812,-2208
-24,-68,26,-1272,1258,-1834
-69,-81,-2,229,162,-26
-82,-88,74,28,-1314,25
-81,-98,-116,781,-2353,370
-59,123,-42,319,-3250,928
88,62,-79,2934,-2895,1414
85,57,-41,1880,-2336,677
-67,-87,89,-789,-2295,446
109,117,58,229,-1713,337
68,36,15,1391,-147,207
-6,26,-11,1715,75,304
-104,0,6,-875,-875,-536
-68,-37,-32,-151,-982,180
4,-7,19,-603,-427,608
66,53,-22,-169,645,699
32,109,-81,417,863,297
74,117,-49,413,103,-168
61,-83,72,-1466,-772,-282
107,27,10,-6152,1893,-2113
-57,16,-126,2,4024,-694
39,-92,91,1588,3279,-1357
-25,-98,-78,-1170,1397,-1891
-4,-94,-112,-3593,1086,-2118
29,-126,66,-1397,1330,-984
11,93,77,-595,937,-139
-20,81,69,66,582,342
-31,80,76,-209,-265,586
-25,78,66,892,-1574,1244
92,-105,127,127,-2932,1873
93,-66,-126,2581,-3228,2918
40,-127,-57,754,-2553,877
104,-93,-100,2036,-654,1367
-106,-94,79,-3222,2068,-2853
106,104,-42,138,2249,-2011
-52,25,-2,220,484,-2148
-56,79,48,-2676,-766,-2038
-42,116,5,-2765,-887,-1266
-33,-117,4,-2255,-945,-733
-40,-116,-16,285,-377,299
-49,-106,19,1590,-632,712
-36,1,-31,749,-1771,727
16,68,28,-1318,-1009,-560
-113,2,5,426,-584,-779
15,104,-20,-2254,-821,-2217
91,-121,-82,-2141,-35,-1113
97,119,78,17,1214,-185
10,120,45,2636,996,-34
-15,-65,-111,-784,-659,-1060
-10,-46,-98,-1690,-1413,-1472
35,-108,99,-537,-452,-1302
10,-127,-125,757,-448,-827
-10,-124,-57,-610,-593,-1086
16,111,-78,552,145,-231
-2,103,-75,275,456,-436
79,122,122,1640,761,416
-16,-37,-42,833,-594,255
4,-61,-35,-3139,-758,-1575
45,-80,127,-1101,-288,-690
4,101,121,-1963,116,-1468
22,93,103,-1364,-263,-616
58,74,106,-1167,-302,-23
78,74,63,994,291,1074
64,118,98,437,68,878
48,-44,-74,-1905,-1124,-18
115,-77,-86,-266,-1114,454
122,96,-32,1106,-666,1093
-60,117,96,553,-475,1485
76,121,34,-130,440,652
20,50,-52,87,510,-88
-80,94,2,-544,97,454
-81,30,-66,767,1145,1367
-104,-20,-94,728,1073,1183
-81,99,-119,-4730,-692,-3104
-31,24,-11,-2647,-286,-3712
-48,6,1,-910,202,-3308
-117,-123,87,-2698,200,-3792
-109,33,61,-1817,994,-2606
112,-62,69,-1591,916,-1492
65,-79,95,-1593,432,-695
60,-99,106,-1682,291,-328
121,-113,90,-1026,256,279
111,-105,60,3126,193,788
118,-58,-115,1253,-642,1201
111,-54,-110,465,-1189,1293
76,-119,65,1447,-688,1517
-122,-84,111,771,-1013,1310
-69,-74,122,984,-1111,1548
-110,122,93,1347,-687,2197
-53,-20,-128,-9622,-8047,3812
-86,19,-53,14050,3836,-4308
126,23,-32,6787,1320,4395
-21,-22,-54,-7353,-3758,-1115
45,85,-103,1362,-407,388
84,4,8,-906,479,-472
111,25,-81,-598,1148,-858
-86,30,-110,-341,1240,-584
-106,50,-122,-1765,706,-931
-36,109,98,-2846,736,-1411
19,-28,79,-3249,232,-1278
-33,-21,51,-2536,163,-1619
-40,-22,43,-1883,772,-1460
-57,-25,62,-1399,1104,-1105
-83,-33,78,-1460,737,-890
-83,-52,68,-1272,617,-774
-107,-71,78,-364,-98,-118
-111,-61,102,-759,-886,-201
-85,-56,-127,-31,-1233,173
-44,-72,-75,-461,-1186,536
5,-74,-108,1745,-442,1466
-110,-91,-85,616,-33,1396
125,121,8,-813,-1441,-173
-71,127,-29,567,-899,593
-122,-85,-79,2500,-2248,2300
46,-101,-44,2504,-1775,1161
-99,-54,40,735,-1358,1057
75,-102,-41,1813,-1008,1093
-18,79,-44,2569,-1155,1008
-34,66,24,576,-980,408
-44,12,-7,1229,-745,221
