AccX,AccY,AccZ,GyroX,GyroY,GyroZ
36,80,90,-659,5134,-4694
-74,33,88,426,4269,-7747
55,-106,79,1338,4426,-9283
22,-104,110,196,6745,-9155
85,5,-41,-616,8944,-7182
-86,-92,-1,-4386,6424,-3535
79,-88,-80,-3243,4442,4865
-59,-4,-4,-6368,529,4155
-13,-68,-33,-3087,-3577,4656
-85,-31,-77,1391,2913,-4141
-38,-17,-18,5891,-2436,-7278
22,8,17,4227,-2398,-7021
-25,-94,108,3799,-443,-6050
108,88,64,1146,4885,3864
20,105,52,-8070,733,6508
-41,-29,-8,-4991,1723,4620
-49,-79,-127,-4973,564,3497
108,80,39,-474,-3079,6064
27,-90,92,1148,2133,-2512
-119,-128,-45,5031,-1957,-4666
-2,125,-21,3568,-3221,-6476
59,90,77,3859,-3893,-6458
-24,-89,-85,1819,2014,-2819
-63,-109,43,-669,485,4327
40,46,8,-4608,-301,7890
-28,92,115,-3617,-4415,7279
-84,-56,-86,-1913,-7044,7970
-31,49,45,-2820,-10851,7535
14,56,-123,1550,-6288,7772
121,-113,3,-3664,1849,5905
-99,38,-71,2734,-2202,-2592
-45,-16,-108,-2352,2965,-1085
50,106,104,-400,-1613,1666
54,19,44,-705,1031,-74
-1,59,107,195,-41,-633
30,74,115,-604,698,-236
31,32,126,-119,207,-367
74,73,116,-872,653,-235
51,-4,119,-25,202,-119
77,58,126,-127,318,-315
-48,-68,-40,3977,5250,-8114
-92,-71,103,3379,503,-10928
27,65,99,808,2038,-11415
78,54,-122,-1308,4834,-12366
-125,87,-86,-5957,7376,-5154
-26,55,-100,-4167,3565,5388
94,42,31,-5525,581,6228
-107,-41,-94,-3378,-4072,6980
-116,49,-39,2079,2106,-3270
121,-60,89,5526,-928,-7033
-25,80,114,4405,-3079,-8469
-121,-8,97,2661,-3259,-8603
-72,-98,43,3735,2780,2003
45,25,-30,-7395,619,9921
50,-78,5,-2967,2630,6134
-26,-56,89,-5295,1781,5581
124,2,2,-575,-22,5751
-86,-100,-105,2382,2007,-2605
24,79,20,6145,-3617,-7755
-3,-73,-78,3437,-3475,-8780
125,17,-119,2358,-3679,-7945
118,-47,5,2940,5356,1522
72,-99,114,-3433,57,8412
-108,-97,96,-2892,-1761,9898
-86,20,40,-3041,-7203,6271
62,-63,-53,-4797,-12432,8578
-75,-46,83,2435,-7891,6931
118,76,61,33,1649,10668
58,-110,100,-2177,-4546,-1798
99,114,9,-1636,5718,-1913
110,-105,-104,2613,-1595,1449
-30,69,-124,-3444,161,-367
39,36,14,688,1201,-389
32,-113,-118,-802,1142,-536
63,101,-119,-928,1126,-863
61,69,117,659,-162,8
92,-110,-99,-449,401,-499
78,76,-104,316,284,-264
64,94,-102,506,-25,-233
74,40,-107,576,-38,-235
-3,-20,88,3599,3781,-3635
100,37,103,4709,6331,-10206
89,37,-111,2742,180,-6676
-2,77,-46,561,7126,-8351
-2,-41,89,51,10354,-3191
-69,-126,-119,-1525,6602,2778
-41,48,54,-700,599,5424
46,-20,-17,778,-2051,-8525
-11,84,90,3272,-4463,-10365
-80,19,-63,3228,-6306,-8483
-85,-23,44,-1317,4242,-5988
-14,93,21,3174,2156,1813
-19,103,18,-6710,3152,9369
-125,54,109,-3319,4933,7120
-28,-60,-35,-5039,3613,5059
33,-19,-54,-3297,-2197,6002
110,-128,-89,1354,-1391,-449
118,87,48,2924,-1403,-9935
70,31,56,3903,-4990,-8119
53,58,30,4715,-3844,-7357
-16,-28,-33,1504,1046,-5427
27,-70,-37,-1074,5316,2228
83,45,33,-6386,2299,9398
-106,-59,47,-4701,1698,8343
-83,99,-13,-3075,-2114,6352
3,107,-51,-5468,-7029,2704
-1,-30,101,-4031,-6452,-4707
8,25,112,3383,-9741,3895
24,75,-91,662,-11212,9172
-124,88,-100,-1667,1757,4192
125,-56,-16,1476,-588,4908
73,65,-31,-2363,-60,-3712
-38,-70,7,1174,3535,424
49,17,-90,147,-2329,844
29,-24,-49,-710,29,-708
19,46,-87,653,899,-702
12,40,111,466,333,-372
36,52,123,-576,-136,-441
25,29,-110,50,0,-296
20,17,-108,76,-9,-214
-70,-33,35,683,4925,-7788
1,-27,78,2157,3589,-11817
-108,106,-28,-886,1359,-10001
-90,47,90,-2888,5427,-12400
13,-115,51,-6933,4672,-4507
-68,30,-105,-3687,2878,8523
88,112,17,-2495,3477,6442
-93,-19,-88,-3918,860,6310
47,42,-17,272,-773,1844
65,-52,-122,4024,3031,-8550
-104,-35,63,5163,-3569,-6550
28,88,106,2214,-2691,-8216
83,-21,86,815,388,-6043
120,-64,29,3043,2808,2896
-44,54,-20,-7264,2268,9142
109,83,-9,-3364,1635,7142
35,84,-100,-4754,2175,5332
-9,-78,-5,-749,-1910,7025
13,118,-6,3873,3931,-4998
-67,50,-42,4604,-2719,-6199
38,41,106,3305,-2201,-8744
31,-44,-49,4268,-4213,-6270
50,-120,-65,3163,-1925,-4069
-72,-124,-113,1435,-1329,825
-17,-40,-26,1005,1101,7294
125,115,-106,2386,-1517,11524
-32,-25,-65,-4418,-6539,7302
1,-85,26,-1011,-13595,12638
95,18,-128,-821,-4921,5664
-68,-91,-59,1173,-1634,9453
-63,26,58,-5601,-1876,-3234
-62,-37,-67,5307,2696,-3297
-78,115,92,847,-469,635
-111,-124,43,1137,-2445,1356
69,-51,13,-498,2905,-1338
-18,-17,-118,77,1530,-934
-11,9,116,474,539,-777
14,9,101,-478,562,-698
9,5,86,-150,103,-122
20,31,108,-114,-28,90
10,-62,44,2581,6358,-5581
-48,-121,67,4537,3368,-10215
24,89,7,165,2082,-8760
92,52,15,-208,2285,-10614
50,1,26,-1969,5420,-8285
37,125,98,-5108,2880,-2870
-62,95,-124,-6034,1325,10605
-62,-42,84,-2714,3622,7718
-54,106,-113,1092,-1122,3971
39,-97,-18,2564,4320,-10916
-32,-29,-66,4710,-3757,-6457
-97,-93,55,4110,-5604,-8115
-90,-4,-117,2849,-3294,-6249
114,-42,25,2589,3066,-66
-24,59,-51,-6032,2082,7204
-16,-70,-71,-3486,2263,7721
67,-41,-26,-4708,2820,5207
-120,112,52,-2710,-157,8496
91,80,49,36,-1976,1682
73,99,-45,3661,976,-10222
-77,114,-14,4314,-4021,-6433
80,87,111,3275,-3385,-7387
-77,82,-114,1685,-2265,-5531
47,-38,-59,3868,1068,-2389
-41,-56,-81,-4532,4003,4860
42,21,-113,-4366,1131,10524
27,89,10,-4184,1138,8187
-14,97,-45,-3338,-5660,7821
120,20,28,-7963,-9478,-1494
-19,34,68,983,-5463,-608
-48,1,-18,1588,-7534,2469
55,-59,-114,-1187,-6446,6956
-121,-67,-125,1824,-77,7848
29,-95,13,950,-3081,1368
-19,104,7,874,3532,-5310
-107,-50,-19,1102,3167,-562
40,105,103,-1185,-2941,1505
-6,106,-65,-475,312,-943
31,35,-107,971,1400,-568
-14,96,85,-710,731,-508
-1,-111,20,2685,6254,-11783
15,57,41,4347,-3942,-10915
39,103,-12,-1931,858,-13101
-106,-75,81,-7281,5892,-9592
-86,-1,-8,-4313,6500,1791
-22,-33,10,-2922,3886,8819
-81,-26,-23,-6072,2596,6097
-89,37,-5,524,-3090,95
18,50,-94,2952,4077,-9380
-83,-1,-102,4714,-3431,-5888
-15,26,71,2382,-4019,-7279
-3,97,83,608,2099,-4937
51,18,81,58,3410,6210
-46,81,78,-5431,977,9124
14,15,112,-2165,2979,5064
-31,-12,-100,-5609,-728,4957
-30,-113,-94,-1116,-1754,3813
-87,-127,29,3645,3193,-9681
95,-83,116,5409,-6342,-7372
-80,50,-103,1705,-2219,-7516
-1,85,101,1218,-3119,-5382
26,-93,-91,4643,2785,923
-40,-59,-71,-5966,4384,5960
35,-108,-54,-1520,1027,9788
-121,-111,-32,-1334,2457,7157
-6,-43,-20,-3909,-4719,2468
-7,51,-106,-7144,-9052,-348
-40,40,-32,4256,-7462,4194
-14,116,15,1960,-4720,4714
6,-102,-77,-2672,-3232,6926
-7,-100,-7,959,261,4309
4,126,15,4373,191,5175
103,76,113,-650,-2449,-1355
6,119,-56,-2792,1881,-3772
-73,72,40,2564,1194,-970
82,65,-123,1413,-458,1475
7,119,-92,-1532,650,420
30,15,112,-506,514,-317
12,-35,113,-145,-142,376
38,3,114,-9,157,241
68,-113,-87,2467,5228,-4763
127,-70,69,2853,3623,-10931
-54,110,83,231,1684,-9710
90,-48,-39,574,3743,-11281
-99,-28,39,-1446,1526,-8852
38,127,-22,-5872,3555,-3245
80,71,14,-3231,-546,8872
-88,1,-18,-6154,1323,5858
29,-122,24,-2184,-2101,7153
4,117,109,3904,6053,-6705
100,-28,-58,5432,-2475,-3969
-13,49,116,3587,-1261,-7833
-35,-15,-90,1419,-4941,-7048
20,51,22,4568,4076,-205
-52,-37,-30,-3806,1502,7146
49,16,99,-3487,-121,8778
121,-88,-43,-4683,2664,4170
8,66,-91,-986,-791,9713
65,-92,-40,-382,5185,-2871
-104,73,-117,6030,-1460,-6414
103,-97,-63,3590,-2999,-7266
74,-113,76,1864,-5815,-8954
50,-109,67,2693,-1296,-4139
-93,-104,-94,3089,2384,280
-107,-64,-88,-4432,3111,7755
100,74,77,-5040,718,10194
64,19,-54,-1704,1577,9073
87,-66,80,-4661,2965,1787
-116,90,63,2119,-4121,-2765
10,106,53,-822,-7723,-2
32,90,27,-1828,-5111,4381
41,-13,111,-228,-4521,4063
-91,-128,-87,-1296,-2697,4205
72,-111,-125,-583,-782,2726
46,-8,95,407,-354,4799
17,112,-28,-1798,-2545,1663
-42,22,-24,391,-1157,1620
29,18,-123,540,301,-2133
-36,118,51,789,1643,-2102
-81,-58,-80,1609,847,-954
58,-22,104,6028,6627,-15002
119,25,104,1863,344,-10423
-50,-67,57,-1208,5094,-11583
20,81,39,-3561,3672,-7147
69,14,-81,-3141,2278,1432
